,Player,PPR_Projected_2023
2932,Patrick Mahomes,414.7914147266228
739,Cooper Kupp,395.38986969445216
2033,Josh Allen,393.6574446556215
1659,Jalen Hurts,377.2582849331091
248,Austin Ekeler,370.1595556515605
2135,Justin Jefferson,365.9839753740154
2032,Josh Allen,362.85157881204543
672,Christian McCaffrey,355.5377201293834
1900,Joe Burrow,352.46132032853575
3696,Tyreek Hill,348.84073514021884
2124,Justin Herbert,343.81334948505474
669,Christian McCaffrey,342.6742288390908
3483,Tom Brady,338.0033010902774
979,Davante Adams,334.95707711555946
1968,Jonathan Taylor,333.74530560488904
1166,Deshaun Watson,330.23291109052997
2054,Josh Jacobs,328.7741125291782
164,Andrew Luck,327.06786334978557
2931,Patrick Mahomes,324.47159403900264
2031,Josh Allen,322.76983225416694
3540,Travis Kelce,316.7235272784139
3321,Stefon Diggs,315.2102402338106
28,Aaron Rodgers,309.3738776016838
978,Davante Adams,308.9351264873079
247,Austin Ekeler,308.5068874764091
2349,Kyler Murray,306.5315467112501
1090,Deebo Samuel,305.0505222238075
130,Alvin Kamara,304.5990863324301
2359,Lamar Jackson,304.58010715803556
2691,Michael Thomas,303.8464118856101
539,CeeDee Lamb,303.794599026252
1159,Derrick Henry,303.7472622442603
1423,Geno Smith,303.20987668929877
3,A.J. Brown,301.8796873915581
2930,Patrick Mahomes,301.67168081043246
3476,Todd Gurley,301.6295521565159
29,Aaron Rodgers,298.9518231455051
2113,Justin Fields,297.20459526749727
2637,Matthew Stafford,296.1152713940434
3584,Trevor Lawrence,295.7903594808293
2134,Justin Jefferson,295.7315081684812
2312,Kirk Cousins,292.4187209688907
3176,Russell Wilson,292.3802334186201
834,Dak Prescott,290.76161943283915
895,Daniel Jones,288.8574767875267
977,Davante Adams,287.3076019747395
3249,Saquon Barkley,285.3395511239978
2833,Nick Chubb,284.80228146886776
1899,Joe Burrow,283.9792323931947
1752,Jared Goff,281.5467345943503
3475,Todd Gurley,280.39338576623373
1658,Jalen Hurts,280.3011294127925
3211,Ryan Tannehill,280.2702727111581
2125,Justin Herbert,279.7235256200127
2928,Patrick Mahomes,275.79377762572204
3482,Tom Brady,275.4097053576905
1583,Ja'Marr Chase,273.6499096107049
3484,Tom Brady,272.3563821041576
850,Dalvin Cook,272.1045015098569
2518,Mark Andrews,271.56676042681073
1157,Derrick Henry,271.0261149255005
3694,Tyreek Hill,269.47096975868504
2788,Najee Harris,269.46207209453524
3319,Stefon Diggs,269.0753081251078
2350,Kyler Murray,268.9433712777915
149,Amon-Ra St. Brown,268.06058859072033
3695,Tyreek Hill,267.81732468783974
2311,Kirk Cousins,267.2938863564363
2123,Justin Herbert,266.9793470239854
2360,Lamar Jackson,266.96909332516253
1165,Deshaun Watson,263.21389516955014
1813,Jaylen Waddle,258.351529091594
1913,Joe Mixon,258.27155812429373
3245,Saquon Barkley,255.63712679599422
3538,Travis Kelce,255.1590929155025
3320,Stefon Diggs,254.31707149100413
668,Christian McCaffrey,253.69733857014452
486,Calvin Ridley,253.37519238754456
1075,DeVonta Smith,253.37519238754456
3063,Rhamondre Stevenson,251.2836819074418
281,Ben Roethlisberger,250.95801429729028
23,Aaron Jones,250.22019210355862
2310,Kirk Cousins,248.86860299221544
832,Dak Prescott,247.66976332390735
2400,Le'Veon Bell,247.19954472670756
1250,Drew Brees,246.01903718288835
3512,Tony Pollard,245.15404441221352
1218,Diontae Johnson,243.63916976625657
1164,Deshaun Watson,243.22434112419785
3212,Ryan Tannehill,242.2240011759091
139,Amari Cooper,242.18878338313718
666,Christian Kirk,241.6080889295162
1584,Ja'Marr Chase,241.37660593008528
30,Aaron Rodgers,240.82156511245444
1914,Joe Mixon,240.13222354780112
2970,Philip Rivers,239.32270570159207
93,Alex Smith,238.7873096987183
3175,Russell Wilson,238.60058061987658
852,Dalvin Cook,237.66814761958037
204,Antonio Brown,237.11134844451564
3539,Travis Kelce,236.9114553404003
283,Ben Roethlisberger,236.76653696518744
3685,Tyler Lockett,236.25019655329947
2712,Mike Evans,234.68900549589267
2362,Lamar Jackson,234.68804668143278
128,Alvin Kamara,234.64124533953515
494,Cam Newton,234.52341272585068
1515,Hunter Renfrow,234.1697810250823
1048,DeAndre Hopkins,233.92130526260902
2612,Matt Ryan,232.46365773922793
525,Carson Wentz,232.1305762272892
1697,James Conner,231.88342141476275
1138,Derek Carr,230.40020238095738
2968,Philip Rivers,230.36773597938102
3618,Tua Tagovailoa,229.28592767488155
2207,Keenan Allen,229.26131693344436
20,Aaron Jones,229.20763042410024
2097,Julian Edelman,228.9839137827194
3451,Terry McLaurin,228.72465713620306
2690,Michael Thomas,228.58611326714936
1360,Ezekiel Elliott,228.51123895834291
346,Brandon Aiyuk,228.43085924102937
818,D.K. Metcalf,228.11261916898326
2614,Matt Ryan,227.95632753507778
2421,Leonard Fournette,227.74996941480885
957,Darren Waller,226.82247473076023
2422,Leonard Fournette,226.71260688064407
2713,Mike Evans,226.6653780650169
245,Austin Ekeler,226.41715132398113
1680,Jamaal Williams,226.37684947248349
1362,Ezekiel Elliott,226.2125859930258
3178,Russell Wilson,225.97672964343994
2789,Najee Harris,225.7478028426457
619,Chris Godwin,225.00974455650706
1689,Jameis Winston,225.00892359615307
2743,Mike Williams,222.30163445748144
2133,Justin Jefferson,222.12464914804843
1137,Derek Carr,222.08714517565568
1812,Jaylen Waddle,222.07147138820332
3433,Tee Higgins,221.97354899668144
3692,Tyreek Hill,221.88079583541884
816,D.K. Metcalf,221.6238667222576
817,D.K. Metcalf,221.53947687063882
618,Chris Godwin,221.11591157161445
1139,Derek Carr,220.5547177520839
3177,Russell Wilson,217.82771586233724
284,Ben Roethlisberger,216.8587068077998
1298,Eli Manning,216.48964284642025
1046,DeAndre Hopkins,216.25750966359237
975,Davante Adams,215.636656139445
2361,Lamar Jackson,215.39917436599742
1156,Derrick Henry,215.32891053003078
3684,Tyler Lockett,215.27328764302646
2685,Michael Pittman Jr.,214.97265139521278
3352,T.J. Hockenson,214.94444874009199
1359,Ezekiel Elliott,214.88599722454623
1411,Garrett Wilson,214.71975681710634
2030,Josh Allen,214.70311749117045
813,D.J. Moore,214.67362809524198
3683,Tyler Lockett,214.4570125000909
2686,Michael Pittman Jr.,214.36439348853102
2100,Julio Jones,214.3399334172221
2969,Philip Rivers,213.5423427832608
2752,Miles Sanders,212.94491194537662
998,David Montgomery,212.78918010226153
849,Dalvin Cook,212.45790892584117
132,Alvin Kamara,212.2609447143222
2636,Matthew Stafford,211.98292489457998
750,Cordarrelle Patterson,211.9713613061876
131,Alvin Kamara,211.9713613061876
119,Allen Robinson,210.2062240881109
2929,Patrick Mahomes,209.7197110393872
2348,Kyler Murray,208.14334713915207
21,Aaron Jones,207.69602076217262
538,CeeDee Lamb,207.0441998388783
3173,Russell Wilson,206.95066953638266
342,Brandin Cooks,206.70628149347354
1252,Drew Brees,206.2464499481427
3527,Travis Etienne,205.62414650880604
1872,Jerry Jeudy,205.4056736152064
216,Antonio Gibson,205.37741305938147
46,Adam Thielen,204.98991217815177
1748,Jared Goff,204.90610332605857
2552,Marquise Brown,204.89493363045824
492,Cam Newton,204.78184767570272
148,Amon-Ra St. Brown,204.47633063359046
203,Antonio Brown,204.41365869695798
22,Aaron Jones,203.92056231035832
1888,Jimmy Garoppolo,203.4831703356471
1967,Jonathan Taylor,202.942925130269
2053,Josh Jacobs,202.46254407253838
1713,James Robinson,202.36269396487347
1722,James White,202.31361963226144
26,Aaron Rodgers,202.3125902069343
2254,Kenneth Walker III,202.2449438005006
1244,Doug Baldwin,202.0323860873426
2460,Mac Jones,201.80861254173283
316,Blake Bortles,201.68757170187334
814,D.J. Moore,201.66220944343544
616,Chris Godwin,201.63806111739402
2101,Julio Jones,201.63732888743644
44,Adam Thielen,201.52164804778013
523,Carson Wentz,201.42094795271254
2615,Matt Ryan,201.33739584650428
1698,James Conner,201.1986687448949
2711,Mike Evans,200.9461558781765
27,Aaron Rodgers,200.94244386670744
1435,George Kittle,200.799076124476
1251,Drew Brees,200.70556920402703
1,A.J. Brown,200.6738086382798
2351,Kyler Murray,200.41726980732184
740,Cooper Kupp,200.3172401812328
649,Chris Olave,200.23887552922355
3408,Taylor Heinicke,200.1282416934732
3126,Robert Woods,199.92086959292232
2206,Keenan Allen,199.8988329233786
3808,Zay Jones,199.85228708918214
835,Dak Prescott,199.36464988371273
2512,Marcus Mariota,198.51609962543614
2967,Philip Rivers,198.42707564186134
3174,Russell Wilson,198.34415119825516
267,Baker Mayfield,198.16349253105903
491,Cam Newton,197.66841442773216
3477,Todd Gurley,197.330229766651
930,Darnell Mooney,196.43692430655693
737,Cooper Kupp,196.27769562940497
1047,DeAndre Hopkins,196.2054696692104
3432,Tee Higgins,196.0937680878697
1861,Jerick McKinnon,195.69260073901575
3428,Teddy Bridgewater,195.31617187832921
3183,Ryan Fitzpatrick,194.98642526971756
3536,Travis Kelce,194.24664848279681
1750,Jared Goff,194.00049638440387
2613,Matt Ryan,193.8340195346763
2091,JuJu Smith-Schuster,193.4197635389802
2519,Mark Andrews,193.30601163483007
3450,Terry McLaurin,193.21068624652912
2205,Keenan Allen,193.20690324947722
137,Amari Cooper,193.1069332392175
2380,Larry Fitzgerald,192.9396023111578
2709,Mike Evans,192.65707969984257
2832,Nick Chubb,192.51127871781574
2093,JuJu Smith-Schuster,192.18755218650563
1249,Drew Brees,191.79588845401105
127,Alvin Kamara,191.25789986501724
2406,LeSean McCoy,190.46763370044206
3481,Tom Brady,190.41882221927193
793,D'Andre Swift,190.36731031052048
2419,Leonard Fournette,190.09538557748155
3392,Tarik Cohen,189.91086321901324
859,Damien Harris,189.3310221111044
851,Dalvin Cook,189.09755197424843
2052,Josh Jacobs,189.09755197424843
603,Chris Carson,188.40966723327446
